datetime,volume
2021-07-23 05:00:00,66958159.0
2021-07-26 05:00:00,66896437.0
2021-07-27 05:00:00,67731059.0
2021-07-28 05:00:00,67763188.0
2021-07-29 05:00:00,66664830.0
2021-07-30 05:00:00,65931548.0
2021-08-02 05:00:00,63935114.0
2021-08-03 05:00:00,63442843.0
2021-08-04 05:00:00,63077240.0
2021-08-05 05:00:00,62728048.0
2021-08-06 05:00:00,62788706.0
2021-08-09 05:00:00,62225141.0
2021-08-10 05:00:00,61897798.0
2021-08-11 05:00:00,62166592.0
2021-08-12 05:00:00,61303744.0
2021-08-13 05:00:00,60838051.0
2021-08-16 05:00:00,61379158.0
2021-08-17 05:00:00,62177942.0
2021-08-18 05:00:00,63038024.0
2021-08-19 05:00:00,62878591.0
2021-08-20 05:00:00,62737595.0
2021-08-23 05:00:00,62807044.0
2021-08-24 05:00:00,62334824.0
2021-08-25 05:00:00,61548136.0
2021-08-26 05:00:00,61638243.0
2021-08-27 05:00:00,61683591.0
2021-08-30 05:00:00,58362603.0
2021-08-31 05:00:00,57019005.0
2021-09-01 05:00:00,56485571.0
2021-09-02 05:00:00,56317315.0
2021-09-03 05:00:00,55766239.0
2021-09-07 05:00:00,56031318.0
2021-09-08 05:00:00,55657477.0
2021-09-09 05:00:00,55840745.0
2021-09-10 05:00:00,57257839.0
2021-09-13 05:00:00,57750754.0
2021-09-14 05:00:00,58397882.0
2021-09-15 05:00:00,59089160.0
2021-09-16 05:00:00,60124310.0
2021-09-17 05:00:00,62772823.0
2021-09-20 05:00:00,66756674.0
2021-09-21 05:00:00,68466792.0
2021-09-22 05:00:00,70433820.0
2021-09-23 05:00:00,71512542.0
2021-09-24 05:00:00,72284289.0
2021-09-27 05:00:00,73014318.0
2021-09-28 05:00:00,74897832.0
2021-09-29 05:00:00,74553008.0
2021-09-30 05:00:00,76258143.0
2021-10-01 05:00:00,77472405.0
2021-10-04 05:00:00,79357780.0
2021-10-05 05:00:00,80548096.0
2021-10-06 05:00:00,83024347.0
2021-10-07 05:00:00,84087940.0
2021-10-08 05:00:00,84645535.0
2021-10-11 05:00:00,84245474.0
2021-10-12 05:00:00,85006267.0
2021-10-13 05:00:00,85462060.0
2021-10-14 05:00:00,86179241.0
2021-10-15 05:00:00,86960219.0
2021-10-18 05:00:00,87459515.0
2021-10-19 05:00:00,87303691.0
2021-10-20 05:00:00,87083346.0
2021-10-21 05:00:00,86527848.0
2021-10-22 05:00:00,85491078.0
2021-10-25 05:00:00,84206940.0
2021-10-26 05:00:00,83469539.0
2021-10-27 05:00:00,83257732.0
2021-10-28 05:00:00,82379439.0
2021-10-29 05:00:00,80770685.0
2021-11-01 05:00:00,76836955.0
2021-11-02 05:00:00,75383032.0
2021-11-03 05:00:00,73721688.0
2021-11-04 05:00:00,72936725.0
2021-11-05 05:00:00,73079916.0
2021-11-08 06:00:00,72714385.0
2021-11-09 06:00:00,70071480.0
